,Store Hours,Total Breweries
86,"[{""day"":""Sun - Thu"",""hour"":""11:00 am - 11:00 pm""},{""day"":""Fri - Sat"",""hour"":""11:00 am - 12:00 am""}]",2
87,"[{""day"":""Sun"",""hour"":""11:00 AM-08:00 PM""}]",2
88,"[{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - Midnight""}]",2
89,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 12:00 AM""},{""day"":""Sun"",""hour"":""10:00 AM - Midnight""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - Midnight""},{""day"":""Fri"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 am - 1:00 am""},{""day"":""Sat"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sun"",""hour"":""10:00 am - 12:00 am""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 12:00 am""},{""day"":""Fri"",""hour"":""11:00 am - 1:00 am""},{""day"":""Sat"",""hour"":""10:00 am - 1:00 am""}]",2
90,"[{""day"":""Monday - Sunday"",""hour"":""12:00 pm - 5:00 pm""}]",2
91,"[{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Saturday"",""hour"":""11:00 am - 11:00 pm""}]",2
92,"[{""day"":""Monday - Friday"",""hour"":""8:00 am - 4:00 pm""}]",2
93,"[{""day"":""Monday - Sunday"",""hour"":""10:00 AM - 4:00 PM""},{""day"":""Mon - Sun"",""hour"":""10:00 AM - 4:00 PM""}]",2
94,"[{""day"":""Mon - Sun"",""hour"":""11:00 AM - 9:00 PM""}]",2
95,"[{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 11:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""}]",2
